#Times 	                 Airmass 	 Delta Wav 	 FWHM 	        Sky Flux 	      Trace Center 
2458273.5670815925 	 1.5930000000 	 -0.4738861357 	 3.5099389775 	 68.2001661156 	 333.5420919668 
2458273.5679611396 	 1.6020000000 	 -0.4824456367 	 4.0318383453 	 73.4275012098 	 333.4155368956 
2458273.5688406872 	 1.6120000000 	 -0.4920778433 	 3.8270797861 	 71.6826666499 	 333.3426025097 
2458273.5697202343 	 1.6220000000 	 -0.5034723103 	 3.7980435217 	 71.5438210316 	 333.4952816031 
2458273.5705997813 	 1.6320000000 	 -0.5174503681 	 3.5175590242 	 70.8220871724 	 333.5884408674 
2458273.5714793289 	 1.6420000000 	 -0.5347357851 	 3.7843875902 	 70.4420055472 	 333.5086456046 
2458273.5723588760 	 1.6520000000 	 -0.5556198642 	 3.9909587870 	 73.0808452829 	 333.3747481045 
2458273.5732384236 	 1.6620000000 	 -0.5797021305 	 3.5598777758 	 69.6360036205 	 333.4584586584 
2458273.5741179707 	 1.6730000000 	 -0.6058639201 	 3.7605735160 	 70.6139255373 	 333.5043463144 
2458273.5749975177 	 1.6840000000 	 -0.6324983194 	 3.8869764007 	 70.4140745854 	 333.3158915149 
2458273.5758770653 	 1.6950000000 	 -0.6578871852 	 3.7526680811 	 72.7793039498 	 333.4334373900 
2458273.5767566124 	 1.7060000000 	 -0.6805680088 	 3.5453574222 	 73.2221241809 	 333.5000417491 
2458273.5776245864 	 1.7170000000 	 -0.6995729887 	 3.4437962591 	 73.4488721804 	 333.4361321508 
2458273.5785041340 	 1.7290000000 	 -0.7144931765 	 3.4984426333 	 71.1567820737 	 333.5058800251 
2458273.5793952541 	 1.7410000000 	 -0.7253984252 	 3.3938656207 	 72.4918195855 	 333.4848055897 
2458273.5802748012 	 1.7530000000 	 -0.7326816212 	 3.5291096445 	 71.9636301384 	 333.6015589971 
2458273.5811543483 	 1.7650000000 	 -0.7369264516 	 3.4738150486 	 73.0445331037 	 333.5708603945 
2458273.5820338959 	 1.7770000000 	 -0.7388426784 	 3.5000822626 	 74.3136890087 	 333.5594933722 
